trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",30,0,-24.35741652268904,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",20,0,19.510920267526526,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",25,7,-19.396235869108885,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,8,-20.791304913339587,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,15,8.53613710109648,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,0,-4.51602558773701,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,13,15.32915648081098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,-26.98650448909557,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.261845668580326}",20,0,-108.3802047389542,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",20,7,16.235113741249403,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",25,0,26.093235292108105,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,0,6.737272514792511,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,14,-15.52309637275641,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,13,11.240766663786092,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,0,24.40107592925095,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",30,13,32.37910808856967,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,13,9.966114311908758,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,9,5.294812695890348,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",25,0,-3.9294957117971867,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",30,1,-26.721240319983536,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",30,16,23.54140368353474,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,0,-6.465302541659874,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,14,6.496303828384559,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",30,0,7.871650507969923,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,7,22.12129982541385,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",35,26,-25.10082882435556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
